Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_Group,Attrition_Flag_Original,Attrition_Flag_Existing Customer
45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144.0,42,1.625,0.061,Middle-aged,Existing Customer,1
49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291.0,33,3.714,0.105,Middle-aged,Existing Customer,1
51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887.0,20,2.333,0.0,Middle-aged,Existing Customer,1
40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171.0,20,2.333,0.76,Middle-aged,Existing Customer,1
40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816.0,28,2.5,0.0,Middle-aged,Existing Customer,1
44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088.0,24,0.846,0.311,Middle-aged,Existing Customer,1
51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,23836.25,2264,32252.0,1.975,1330.0,31,0.722,0.066,Middle-aged,Existing Customer,1
32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,23836.25,1396,27685.0,2.204,1538.0,36,0.714,0.048,Young,Existing Customer,1
37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350.0,24,1.182,0.113,Middle-aged,Existing Customer,1
48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441.0,32,0.882,0.144,Middle-aged,Existing Customer,1
42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201.0,42,0.68,0.217,Middle-aged,Existing Customer,1
65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314.0,26,1.364,0.174,Older,Existing Customer,1
56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539.0,17,3.25,0.0,Older,Existing Customer,1
35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311.0,33,2.0,0.195,Young,Existing Customer,1
57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570.0,29,0.611,0.279,Older,Existing Customer,1
44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348.0,27,1.7,0.23,Middle-aged,Existing Customer,1
48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,23836.25,2362,28005.0,1.708,1671.0,27,0.929,0.078,Middle-aged,Existing Customer,1
